workout_id,member_id,workout_datetime,workout_type,duration_min,calories_burned,avg_heart_rate,satisfaction_rating,branch,workout_type_clean,workout_date,workout_month,day_of_week,hour_of_day,calories_per_min,join_date,age,gender,city,membership_type,height_cm,weight_kg,referral_source,is_student,gender_clean,city_clean,height_m,BMI,age_group,tenure_days
11,1,2023-09-13 13:00:00,Yoga,38.0,192.2,131.1,5.0,Corniche,Yoga,2023-09-13,2023-09-01,Wednesday,13,5.057894736842105,2023-04-13,26.0,Female,Sharjah,Basic,175.2,80.9,Social Media,1,Female,Sharjah,1.7519999999999998,26.356049707053653,26-35,153
12,1,2023-12-25 17:30:00,Strength,41.0,249.1,131.9,4.0,Corniche,Strength,2023-12-25,2023-12-01,Monday,17,6.075609756097561,2023-04-13,26.0,Female,Sharjah,Basic,175.2,80.9,Social Media,1,Female,Sharjah,1.7519999999999998,26.356049707053653,26-35,256
13,1,2023-08-30 14:15:00,Strength,47.0,302.3,118.6,3.0,Corniche,Strength,2023-08-30,2023-08-01,Wednesday,14,6.431914893617021,2023-04-13,26.0,Female,Sharjah,Basic,175.2,80.9,Social Media,1,Female,Sharjah,1.7519999999999998,26.356049707053653,26-35,139
14,2,2024-09-11 11:15:00,Cardio,54.0,431.79999999999995,155.6,1.0,Marina Mall,Cardio,2024-09-11,2024-09-01,Wednesday,11,7.996296296296295,2024-05-06,23.0,Female,Al Ain,Basic,170.2,68.6,,0,Female,Al Ain,1.702,23.681270807413963,18-25,128
15,2,2024-07-01 12:45:00,Strength,65.0,368.6,151.7,3.0,Corniche,Strength,2024-07-01,2024-07-01,Monday,12,5.670769230769231,2024-05-06,23.0,Female,Al Ain,Basic,170.2,68.6,,0,Female,Al Ain,1.702,23.681270807413963,18-25,56
16,2,2024-07-08 12:45:00,Class,52.0,363.6,110.6,3.0,Marina Mall,Class,2024-07-08,2024-07-01,Monday,12,6.992307692307692,2024-05-06,23.0,Female,Al Ain,Basic,170.2,68.6,,0,Female,Al Ain,1.702,23.681270807413963,18-25,63
17,2,2024-11-10 22:30:00,Yoga,72.0,434.4,120.3,2.0,Marina Mall,Yoga,2024-11-10,2024-11-01,Sunday,22,6.033333333333333,2024-05-06,23.0,Female,Al Ain,Basic,170.2,68.6,,0,Female,Al Ain,1.702,23.681270807413963,18-25,188
18,2,2024-05-23 21:00:00,Cardio,42.0,350.4,133.4,4.0,Yas Mall,Cardio,2024-05-23,2024-05-01,Thursday,21,8.342857142857142,2024-05-06,23.0,Female,Al Ain,Basic,170.2,68.6,,0,Female,Al Ain,1.702,23.681270807413963,18-25,17
19,2,2024-11-25 12:15:00,Yoga,48.0,304.5,115.4,3.0,Corniche,Yoga,2024-11-25,2024-11-01,Monday,12,6.34375,2024-05-06,23.0,Female,Al Ain,Basic,170.2,68.6,,0,Female,Al Ain,1.702,23.681270807413963,18-25,203
20,2,2024-06-14 08:30:00,Strength,69.0,413.5,131.9,3.0,Marina Mall,Strength,2024-06-14,2024-06-01,Friday,8,5.992753623188406,2024-05-06,23.0,Female,Al Ain,Basic,170.2,68.6,,0,Female,Al Ain,1.702,23.681270807413963,18-25,39
21,2,2024-10-03 21:15:00,Yoga,54.0,303.8,131.2,5.0,Marina Mall,Yoga,2024-10-03,2024-10-01,Thursday,21,5.625925925925926,2024-05-06,23.0,Female,Al Ain,Basic,170.2,68.6,,0,Female,Al Ain,1.702,23.681270807413963,18-25,150
22,2,2024-12-17 18:30:00,Class,42.0,292.7,141.6,5.0,Downtown,Class,2024-12-17,2024-12-01,Tuesday,18,6.969047619047619,2024-05-06,23.0,Female,Al Ain,Basic,170.2,68.6,,0,Female,Al Ain,1.702,23.681270807413963,18-25,225
23,2,2024-12-03 15:45:00,Class,33.0,177.0,136.8,3.0,Downtown,Class,2024-12-03,2024-12-01,Tuesday,15,5.363636363636363,2024-05-06,23.0,Female,Al Ain,Basic,170.2,68.6,,0,Female,Al Ain,1.702,23.681270807413963,18-25,211
24,2,2024-12-03 14:30:00,Cardio,64.0,493.8,114.4,3.0,Downtown,Cardio,2024-12-03,2024-12-01,Tuesday,14,7.715625,2024-05-06,23.0,Female,Al Ain,Basic,170.2,68.6,,0,Female,Al Ain,1.702,23.681270807413963,18-25,211
25,2,2024-11-23 22:15:00,Strength,51.0,306.1,128.3,5.0,Yas Mall,Strength,2024-11-23,2024-11-01,Saturday,22,6.001960784313726,2024-05-06,23.0,Female,Al Ain,Basic,170.2,68.6,,0,Female,Al Ain,1.702,23.681270807413963,18-25,201
26,2,2024-10-29 21:00:00,Yoga,49.0,273.4,133.7,5.0,Corniche,Yoga,2024-10-29,2024-10-01,Tuesday,21,5.579591836734694,2024-05-06,23.0,Female,Al Ain,Basic,170.2,68.6,,0,Female,Al Ain,1.702,23.681270807413963,18-25,176
27,2,2024-12-28 17:30:00,Cardio,42.0,270.4,147.9,2.0,Corniche,Cardio,2024-12-28,2024-12-01,Saturday,17,6.438095238095237,2024-05-06,23.0,Female,Al Ain,Basic,170.2,68.6,,0,Female,Al Ain,1.702,23.681270807413963,18-25,236
28,2,2024-11-18 12:00:00,Cardio,78.0,696.5,124.9,5.0,Yas Mall,Cardio,2024-11-18,2024-11-01,Monday,12,8.929487179487179,2024-05-06,23.0,Female,Al Ain,Basic,170.2,68.6,,0,Female,Al Ain,1.702,23.681270807413963,18-25,196
29,3,2024-09-11 10:15:00,Cardio,52.0,453.5,143.4,5.0,Corniche,Cardio,2024-09-11,2024-09-01,Wednesday,10,8.721153846153847,2024-04-20,31.0,Female,Sharjah,Standard,162.3,44.6,Friend,0,Female,Sharjah,1.6230000000000002,16.931592947801718,26-35,144
30,3,2024-07-08 19:30:00,Cardio,51.0,435.5,130.3,5.0,Marina Mall,Cardio,2024-07-08,2024-07-01,Monday,19,8.53921568627451,2024-04-20,31.0,Female,Sharjah,Standard,162.3,44.6,Friend,0,Female,Sharjah,1.6230000000000002,16.931592947801718,26-35,79
31,3,2024-08-24 18:15:00,Cardio,82.0,646.5,147.1,4.0,Downtown,Cardio,2024-08-24,2024-08-01,Saturday,18,7.884146341463414,2024-04-20,31.0,Female,Sharjah,Standard,162.3,44.6,Friend,0,Female,Sharjah,1.6230000000000002,16.931592947801718,26-35,126
32,3,2024-10-27 15:15:00,Class,46.0,292.7,125.1,5.0,Yas Mall,Class,2024-10-27,2024-10-01,Sunday,15,6.363043478260869,2024-04-20,31.0,Female,Sharjah,Standard,162.3,44.6,Friend,0,Female,Sharjah,1.6230000000000002,16.931592947801718,26-35,190
33,3,2024-11-02 17:45:00,Strength,59.0,354.3,120.8,3.0,Corniche,Strength,2024-11-02,2024-11-01,Saturday,17,6.005084745762712,2024-04-20,31.0,Female,Sharjah,Standard,162.3,44.6,Friend,0,Female,Sharjah,1.6230000000000002,16.931592947801718,26-35,196
34,3,2024-10-24 08:15:00,Yoga,62.0,360.1,125.0,2.0,Yas Mall,Yoga,2024-10-24,2024-10-01,Thursday,8,5.808064516129033,2024-04-20,31.0,Female,Sharjah,Standard,162.3,44.6,Friend,0,Female,Sharjah,1.6230000000000002,16.931592947801718,26-35,187
35,3,2024-05-16 12:00:00,Strength,43.0,248.5,124.3,5.0,Yas Mall,Strength,2024-05-16,2024-05-01,Thursday,12,5.77906976744186,2024-04-20,31.0,Female,Sharjah,Standard,162.3,44.6,Friend,0,Female,Sharjah,1.6230000000000002,16.931592947801718,26-35,26
36,3,2024-09-24 09:30:00,Class,63.0,372.7,122.1,3.0,Marina Mall,Class,2024-09-24,2024-09-01,Tuesday,9,5.915873015873015,2024-04-20,31.0,Female,Sharjah,Standard,162.3,44.6,Friend,0,Female,Sharjah,1.6230000000000002,16.931592947801718,26-35,157
37,3,2024-08-05 15:15:00,Yoga,54.0,1223.7,124.7,3.0,Marina Mall,Yoga,2024-08-05,2024-08-01,Monday,15,22.66111111111111,2024-04-20,31.0,Female,Sharjah,Standard,162.3,44.6,Friend,0,Female,Sharjah,1.6230000000000002,16.931592947801718,26-35,107
38,3,2024-11-11 07:45:00,Strength,70.0,359.3,128.7,3.0,Yas Mall,Strength,2024-11-11,2024-11-01,Monday,7,5.1328571428571435,2024-04-20,31.0,Female,Sharjah,Standard,162.3,44.6,Friend,0,Female,Sharjah,1.6230000000000002,16.931592947801718,26-35,205
39,3,2024-05-06 11:30:00,Cardio,59.0,469.3,112.9,3.0,Downtown,Cardio,2024-05-06,2024-05-01,Monday,11,7.954237288135594,2024-04-20,31.0,Female,Sharjah,Standard,162.3,44.6,Friend,0,Female,Sharjah,1.6230000000000002,16.931592947801718,26-35,16
40,3,2024-09-07 11:00:00,Cardio,41.0,337.0,127.0,3.0,Yas Mall,Cardio,2024-09-07,2024-09-01,Saturday,11,8.21951219512195,2024-04-20,31.0,Female,Sharjah,Standard,162.3,44.6,Friend,0,Female,Sharjah,1.6230000000000002,16.931592947801718,26-35,140
41,3,2024-11-21 10:45:00,Yoga,18.0,180.0,132.0,4.0,Yas Mall,Yoga,2024-11-21,2024-11-01,Thursday,10,10.0,2024-04-20,31.0,Female,Sharjah,Standard,162.3,44.6,Friend,0,Female,Sharjah,1.6230000000000002,16.931592947801718,26-35,215
42,3,2024-09-28 08:45:00,Cardio,29.0,228.9,120.4,4.0,Downtown,Cardio,2024-09-28,2024-09-01,Saturday,8,7.893103448275863,2024-04-20,31.0,Female,Sharjah,Standard,162.3,44.6,Friend,0,Female,Sharjah,1.6230000000000002,16.931592947801718,26-35,161
43,3,2024-07-19 19:15:00,Cardio,54.0,409.3,120.8,5.0,Corniche,Cardio,2024-07-19,2024-07-01,Friday,19,7.57962962962963,2024-04-20,31.0,Female,Sharjah,Standard,162.3,44.6,Friend,0,Female,Sharjah,1.6230000000000002,16.931592947801718,26-35,90
44,3,2024-12-22 20:15:00,Cardio,66.0,610.5,134.5,3.0,Corniche,Cardio,2024-12-22,2024-12-01,Sunday,20,9.25,2024-04-20,31.0,Female,Sharjah,Standard,162.3,44.6,Friend,0,Female,Sharjah,1.6230000000000002,16.931592947801718,26-35,246
45,3,2024-12-12 18:30:00,Cardio,72.0,559.5,171.5,5.0,Corniche,Cardio,2024-12-12,2024-12-01,Thursday,18,7.770833333333333,2024-04-20,31.0,Female,Sharjah,Standard,162.3,44.6,Friend,0,Female,Sharjah,1.6230000000000002,16.931592947801718,26-35,236
46,3,2024-12-29 16:00:00,Class,59.0,364.9,120.8,5.0,Yas Mall,Class,2024-12-29,2024-12-01,Sunday,16,6.184745762711864,2024-04-20,31.0,Female,Sharjah,Standard,162.3,44.6,Friend,0,Female,Sharjah,1.6230000000000002,16.931592947801718,26-35,253
47,4,2024-01-25 07:15:00,Cardio,77.0,608.4,130.3,3.0,Marina Mall,Cardio,2024-01-25,2024-01-01,Thursday,7,7.901298701298701,2023-12-06,37.0,Female,Sharjah,Basic,170.45,64.4,Friend,0,Female,Sharjah,1.7045,22.166231072116755,36-45,50
48,4,2024-07-10 18:15:00,Strength,54.0,352.1,134.0,5.0,Marina Mall,Strength,2024-07-10,2024-07-01,Wednesday,18,6.520370370370371,2023-12-06,37.0,Female,Sharjah,Basic,170.45,64.4,Friend,0,Female,Sharjah,1.7045,22.166231072116755,36-45,217
49,4,2024-10-22 11:15:00,Cardio,59.0,408.9,126.8,3.0,Downtown,Cardio,2024-10-22,2024-10-01,Tuesday,11,6.93050847457627,2023-12-06,37.0,Female,Sharjah,Basic,170.45,64.4,Friend,0,Female,Sharjah,1.7045,22.166231072116755,36-45,321
50,4,2024-09-15 21:45:00,Cardio,54.0,1603.8,121.1,5.0,Corniche,Cardio,2024-09-15,2024-09-01,Sunday,21,29.7,2023-12-06,37.0,Female,Sharjah,Basic,170.45,64.4,Friend,0,Female,Sharjah,1.7045,22.166231072116755,36-45,284
51,4,2024-03-05 18:15:00,Cardio,65.0,532.8,113.6,3.0,Downtown,Cardio,2024-03-05,2024-03-01,Tuesday,18,8.196923076923076,2023-12-06,37.0,Female,Sharjah,Basic,170.45,64.4,Friend,0,Female,Sharjah,1.7045,22.166231072116755,36-45,90
52,4,2024-05-06 08:15:00,Strength,71.0,451.5,136.7,3.0,Marina Mall,Strength,2024-05-06,2024-05-01,Monday,8,6.359154929577465,2023-12-06,37.0,Female,Sharjah,Basic,170.45,64.4,Friend,0,Female,Sharjah,1.7045,22.166231072116755,36-45,152
53,4,2024-03-31 18:15:00,Cardio,54.0,1605.3,119.9,4.0,Corniche,Cardio,2024-03-31,2024-03-01,Sunday,18,29.727777777777778,2023-12-06,37.0,Female,Sharjah,Basic,170.45,64.4,Friend,0,Female,Sharjah,1.7045,22.166231072116755,36-45,116
54,4,2024-08-10 07:30:00,Yoga,54.0,1133.4,125.6,5.0,Downtown,Yoga,2024-08-10,2024-08-01,Saturday,7,20.98888888888889,2023-12-06,37.0,Female,Sharjah,Basic,170.45,64.4,Friend,0,Female,Sharjah,1.7045,22.166231072116755,36-45,248
55,4,2024-04-15 09:45:00,Strength,52.0,275.5,135.2,2.0,Yas Mall,Strength,2024-04-15,2024-04-01,Monday,9,5.298076923076923,2023-12-06,37.0,Female,Sharjah,Basic,170.45,64.4,Friend,0,Female,Sharjah,1.7045,22.166231072116755,36-45,131
56,5,2023-10-01 07:00:00,CARDIO,41.0,282.1,130.5,3.0,Yas Mall,Cardio,2023-10-01,2023-10-01,Sunday,7,6.880487804878049,2023-04-16,26.0,Female,Dubai,Basic,170.7,86.8,Friend,0,Female,Dubai,1.7069999999999999,29.788777661436818,26-35,168
57,5,2023-12-09 19:30:00,Strength,41.0,216.6,120.8,2.0,Downtown,Strength,2023-12-09,2023-12-01,Saturday,19,5.282926829268293,2023-04-16,26.0,Female,Dubai,Basic,170.7,86.8,Friend,0,Female,Dubai,1.7069999999999999,29.788777661436818,26-35,237
58,5,2023-07-30 15:30:00,Cardio,10.0,89.3,140.8,4.0,Marina Mall,Cardio,2023-07-30,2023-07-01,Sunday,15,8.93,2023-04-16,26.0,Female,Dubai,Basic,170.7,86.8,Friend,0,Female,Dubai,1.7069999999999999,29.788777661436818,26-35,105
59,5,2024-03-15 09:15:00,Strength,54.0,1206.3,156.0,2.0,Marina Mall,Strength,2024-03-15,2024-03-01,Friday,9,22.33888888888889,2023-04-16,26.0,Female,Dubai,Basic,170.7,86.8,Friend,0,Female,Dubai,1.7069999999999999,29.788777661436818,26-35,334
60,5,2023-06-23 18:00:00,Cardio,42.0,319.6,126.4,3.0,Corniche,Cardio,2023-06-23,2023-06-01,Friday,18,7.60952380952381,2023-04-16,26.0,Female,Dubai,Basic,170.7,86.8,Friend,0,Female,Dubai,1.7069999999999999,29.788777661436818,26-35,68
61,5,2023-09-03 12:45:00,CARDIO,73.0,619.1,127.5,1.0,Corniche,Cardio,2023-09-03,2023-09-01,Sunday,12,8.48082191780822,2023-04-16,26.0,Female,Dubai,Basic,170.7,86.8,Friend,0,Female,Dubai,1.7069999999999999,29.788777661436818,26-35,140
62,5,2023-09-24 10:15:00,Cardio,25.0,255.0,125.3,4.0,Downtown,Cardio,2023-09-24,2023-09-01,Sunday,10,10.2,2023-04-16,26.0,Female,Dubai,Basic,170.7,86.8,Friend,0,Female,Dubai,1.7069999999999999,29.788777661436818,26-35,161
63,6,2024-01-18 17:15:00,Cardio,68.0,555.4,144.1,3.0,Corniche,Cardio,2024-01-18,2024-01-01,Thursday,17,8.16764705882353,2023-12-04,48.0,Male,Al Ain,Basic,151.2,54.5,Online Ad,0,Male,Al Ain,1.5119999999999998,23.839268217575103,46-60,45
64,6,2024-01-12 15:00:00,Cardio,73.0,529.8,136.2,2.0,Downtown,Cardio,2024-01-12,2024-01-01,Friday,15,7.257534246575342,2023-12-04,48.0,Male,Al Ain,Basic,151.2,54.5,Online Ad,0,Male,Al Ain,1.5119999999999998,23.839268217575103,46-60,39
65,6,2024-04-14 20:00:00,Cardio,56.0,524.1,140.6,3.0,Marina Mall,Cardio,2024-04-14,2024-04-01,Sunday,20,9.358928571428573,2023-12-04,48.0,Male,Al Ain,Basic,151.2,54.5,Online Ad,0,Male,Al Ain,1.5119999999999998,23.839268217575103,46-60,132
66,6,2024-02-13 15:00:00,Strength,48.0,316.1,162.3,2.0,Marina Mall,Strength,2024-02-13,2024-02-01,Tuesday,15,6.585416666666667,2023-12-04,48.0,Male,Al Ain,Basic,151.2,54.5,Online Ad,0,Male,Al Ain,1.5119999999999998,23.839268217575103,46-60,71
67,6,2024-07-03 14:15:00,Yoga,57.0,358.0,111.5,4.0,Yas Mall,Yoga,2024-07-03,2024-07-01,Wednesday,14,6.280701754385965,2023-12-04,48.0,Male,Al Ain,Basic,151.2,54.5,Online Ad,0,Male,Al Ain,1.5119999999999998,23.839268217575103,46-60,212
68,6,2024-04-14 08:30:00,Cardio,69.0,534.0,130.1,3.0,Corniche,Cardio,2024-04-14,2024-04-01,Sunday,8,7.739130434782608,2023-12-04,48.0,Male,Al Ain,Basic,151.2,54.5,Online Ad,0,Male,Al Ain,1.5119999999999998,23.839268217575103,46-60,132
69,7,2023-10-08 15:00:00,Cardio,69.0,573.1,137.7,1.0,Marina Mall,Cardio,2023-10-08,2023-10-01,Sunday,15,8.305797101449276,2023-05-19,34.0,Male,Abu Dhabi,Premium,160.9,61.6,,0,Male,Abu Dhabi,1.609,23.794063921825686,26-35,142
70,7,2024-03-07 06:00:00,Yoga,74.0,400.8,149.3,2.0,Downtown,Yoga,2024-03-07,2024-03-01,Thursday,6,5.416216216216216,2023-05-19,34.0,Male,Abu Dhabi,Premium,160.9,61.6,,0,Male,Abu Dhabi,1.609,23.794063921825686,26-35,293
71,7,2023-12-18 10:00:00,Class,58.0,346.1,143.0,1.0,Downtown,Class,2023-12-18,2023-12-01,Monday,10,5.967241379310345,2023-05-19,34.0,Male,Abu Dhabi,Premium,160.9,61.6,,0,Male,Abu Dhabi,1.609,23.794063921825686,26-35,213
72,7,2023-11-14 18:00:00,Strength,39.0,186.4,129.3,4.0,Yas Mall,Strength,2023-11-14,2023-11-01,Tuesday,18,4.779487179487179,2023-05-19,34.0,Male,Abu Dhabi,Premium,160.9,61.6,,0,Male,Abu Dhabi,1.609,23.794063921825686,26-35,179
73,7,2023-07-05 08:45:00,Yoga,59.0,318.0,139.4,3.0,Yas Mall,Yoga,2023-07-05,2023-07-01,Wednesday,8,5.389830508474576,2023-05-19,34.0,Male,Abu Dhabi,Premium,160.9,61.6,,0,Male,Abu Dhabi,1.609,23.794063921825686,26-35,47
74,7,2024-04-14 18:00:00,Cardio,61.0,505.5,131.7,5.0,Marina Mall,Cardio,2024-04-14,2024-04-01,Sunday,18,8.28688524590164,2023-05-19,34.0,Male,Abu Dhabi,Premium,160.9,61.6,,0,Male,Abu Dhabi,1.609,23.794063921825686,26-35,331
75,7,2023-12-18 21:00:00,Yoga,39.0,228.9,118.5,2.0,Downtown,Yoga,2023-12-18,2023-12-01,Monday,21,5.86923076923077,2023-05-19,34.0,Male,Abu Dhabi,Premium,160.9,61.6,,0,Male,Abu Dhabi,1.609,23.794063921825686,26-35,213
76,7,2023-08-19 12:45:00,Strength,57.0,452.2,125.4,2.0,Yas Mall,Strength,2023-08-19,2023-08-01,Saturday,12,7.933333333333334,2023-05-19,34.0,Male,Abu Dhabi,Premium,160.9,61.6,,0,Male,Abu Dhabi,1.609,23.794063921825686,26-35,92
77,7,2023-11-30 15:15:00,Yoga,33.0,187.6,123.1,3.0,Yas Mall,Yoga,2023-11-30,2023-11-01,Thursday,15,5.684848484848485,2023-05-19,34.0,Male,Abu Dhabi,Premium,160.9,61.6,,0,Male,Abu Dhabi,1.609,23.794063921825686,26-35,195
78,7,2024-02-15 14:15:00,Strength,51.0,279.0,147.3,4.0,Corniche,Strength,2024-02-15,2024-02-01,Thursday,14,5.470588235294118,2023-05-19,34.0,Male,Abu Dhabi,Premium,160.9,61.6,,0,Male,Abu Dhabi,1.609,23.794063921825686,26-35,272
79,7,2024-01-10 19:15:00,Yoga,54.0,270.9,140.2,3.0,Yas Mall,Yoga,2024-01-10,2024-01-01,Wednesday,19,5.016666666666667,2023-05-19,34.0,Male,Abu Dhabi,Premium,160.9,61.6,,0,Male,Abu Dhabi,1.609,23.794063921825686,26-35,236
80,7,2023-12-31 13:45:00,Strength,52.0,323.4,145.2,4.0,Corniche,Strength,2023-12-31,2023-12-01,Sunday,13,6.2192307692307685,2023-05-19,34.0,Male,Abu Dhabi,Premium,160.9,61.6,,0,Male,Abu Dhabi,1.609,23.794063921825686,26-35,226
81,7,2023-08-27 10:30:00,Yoga,75.0,488.8,99.2,5.0,Downtown,Yoga,2023-08-27,2023-08-01,Sunday,10,6.517333333333333,2023-05-19,34.0,Male,Abu Dhabi,Premium,160.9,61.6,,0,Male,Abu Dhabi,1.609,23.794063921825686,26-35,100
82,7,2023-07-07 19:15:00,Cardio,90.0,800.8,130.9,2.0,Yas Mall,Cardio,2023-07-07,2023-07-01,Friday,19,8.897777777777778,2023-05-19,34.0,Male,Abu Dhabi,Premium,160.9,61.6,,0,Male,Abu Dhabi,1.609,23.794063921825686,26-35,49
83,7,2023-08-12 17:45:00,Cardio,57.0,454.5,132.2,1.0,Downtown,Cardio,2023-08-12,2023-08-01,Saturday,17,7.973684210526316,2023-05-19,34.0,Male,Abu Dhabi,Premium,160.9,61.6,,0,Male,Abu Dhabi,1.609,23.794063921825686,26-35,85
84,7,2023-12-10 08:45:00,Cardio,47.0,399.4,139.2,3.0,Marina Mall,Cardio,2023-12-10,2023-12-01,Sunday,8,8.497872340425532,2023-05-19,34.0,Male,Abu Dhabi,Premium,160.9,61.6,,0,Male,Abu Dhabi,1.609,23.794063921825686,26-35,205
85,7,2024-02-22 11:15:00,Class,54.0,19.9,104.3,4.0,Downtown,Class,2024-02-22,2024-02-01,Thursday,11,0.36851851851851847,2023-05-19,34.0,Male,Abu Dhabi,Premium,160.9,61.6,,0,Male,Abu Dhabi,1.609,23.794063921825686,26-35,279
86,7,2023-12-24 13:15:00,Yoga,57.0,449.7,142.4,1.0,Yas Mall,Yoga,2023-12-24,2023-12-01,Sunday,13,7.889473684210526,2023-05-19,34.0,Male,Abu Dhabi,Premium,160.9,61.6,,0,Male,Abu Dhabi,1.609,23.794063921825686,26-35,219
87,7,2023-08-18 12:15:00,cardio,51.0,384.3,130.0,3.0,Yas Mall,Cardio,2023-08-18,2023-08-01,Friday,12,7.535294117647059,2023-05-19,34.0,Male,Abu Dhabi,Premium,160.9,61.6,,0,Male,Abu Dhabi,1.609,23.794063921825686,26-35,91
88,7,2024-05-12 08:30:00,Yoga,52.0,266.5,135.5,4.0,Corniche,Yoga,2024-05-12,2024-05-01,Sunday,8,5.125,2023-05-19,34.0,Male,Abu Dhabi,Premium,160.9,61.6,,0,Male,Abu Dhabi,1.609,23.794063921825686,26-35,359
89,7,2023-06-26 20:45:00,Cardio,58.0,487.5,159.1,2.0,Yas Mall,Cardio,2023-06-26,2023-06-01,Monday,20,8.405172413793103,2023-05-19,34.0,Male,Abu Dhabi,Premium,160.9,61.6,,0,Male,Abu Dhabi,1.609,23.794063921825686,26-35,38
90,7,2024-03-23 11:30:00,Cardio,15.0,143.1,149.5,4.0,Marina Mall,Cardio,2024-03-23,2024-03-01,Saturday,11,9.54,2023-05-19,34.0,Male,Abu Dhabi,Premium,160.9,61.6,,0,Male,Abu Dhabi,1.609,23.794063921825686,26-35,309
91,8,2023-11-29 06:15:00,Strength,37.0,215.9,142.0,5.0,Yas Mall,Strength,2023-11-29,2023-11-01,Wednesday,6,5.835135135135135,2023-04-09,29.0,Female,Abu Dhabi,Premium,160.7,86.8,Friend,0,Female,Abu Dhabi,1.607,33.611505977465576,26-35,234
92,8,2024-02-04 16:45:00,Cardio,49.0,409.6,96.3,5.0,Yas Mall,Cardio,2024-02-04,2024-02-01,Sunday,16,8.359183673469389,2023-04-09,29.0,Female,Abu Dhabi,Premium,160.7,86.8,Friend,0,Female,Abu Dhabi,1.607,33.611505977465576,26-35,301
93,8,2023-11-15 14:00:00,Class,56.0,322.6,120.0,2.0,Yas Mall,Class,2023-11-15,2023-11-01,Wednesday,14,5.760714285714286,2023-04-09,29.0,Female,Abu Dhabi,Premium,160.7,86.8,Friend,0,Female,Abu Dhabi,1.607,33.611505977465576,26-35,220
94,8,2023-10-02 22:00:00,Strength,51.0,299.1,109.6,3.0,Corniche,Strength,2023-10-02,2023-10-01,Monday,22,5.864705882352942,2023-04-09,29.0,Female,Abu Dhabi,Premium,160.7,86.8,Friend,0,Female,Abu Dhabi,1.607,33.611505977465576,26-35,176
