workout_id,member_id,workout_datetime,workout_type,duration_min,calories_burned,avg_heart_rate,satisfaction_rating,branch,workout_type_clean,workout_date,workout_month,day_of_week,hour_of_day,calories_per_min
31,3,2024-08-24 18:15:00,Cardio,82.0,646.5,147.1,4.0,Downtown,Cardio,2024-08-24,2024-08-01,Saturday,18,7.884146341463414
32,3,2024-10-27 15:15:00,Class,46.0,292.7,125.1,5.0,Yas Mall,Class,2024-10-27,2024-10-01,Sunday,15,6.363043478260869
33,3,2024-11-02 17:45:00,Strength,59.0,354.3,120.8,3.0,Corniche,Strength,2024-11-02,2024-11-01,Saturday,17,6.005084745762712
34,3,2024-10-24 08:15:00,Yoga,62.0,360.1,125.0,2.0,Yas Mall,Yoga,2024-10-24,2024-10-01,Thursday,8,5.808064516129033
35,3,2024-05-16 12:00:00,Strength,43.0,248.5,124.3,5.0,Yas Mall,Strength,2024-05-16,2024-05-01,Thursday,12,5.77906976744186
36,3,2024-09-24 09:30:00,Class,63.0,372.7,122.1,3.0,Marina Mall,Class,2024-09-24,2024-09-01,Tuesday,9,5.915873015873015
37,3,2024-08-05 15:15:00,Yoga,54.0,1223.7,124.7,3.0,Marina Mall,Yoga,2024-08-05,2024-08-01,Monday,15,22.66111111111111
38,3,2024-11-11 07:45:00,Strength,70.0,359.3,128.7,3.0,Yas Mall,Strength,2024-11-11,2024-11-01,Monday,7,5.1328571428571435
39,3,2024-05-06 11:30:00,Cardio,59.0,469.3,112.9,3.0,Downtown,Cardio,2024-05-06,2024-05-01,Monday,11,7.954237288135594
40,3,2024-09-07 11:00:00,Cardio,41.0,337.0,127.0,3.0,Yas Mall,Cardio,2024-09-07,2024-09-01,Saturday,11,8.21951219512195
41,3,2024-11-21 10:45:00,Yoga,18.0,180.0,132.0,4.0,Yas Mall,Yoga,2024-11-21,2024-11-01,Thursday,10,10.0
42,3,2024-09-28 08:45:00,Cardio,29.0,228.9,120.4,4.0,Downtown,Cardio,2024-09-28,2024-09-01,Saturday,8,7.893103448275863
43,3,2024-07-19 19:15:00,Cardio,54.0,409.3,120.8,5.0,Corniche,Cardio,2024-07-19,2024-07-01,Friday,19,7.57962962962963
44,3,2024-12-22 20:15:00,Cardio,66.0,610.5,134.5,3.0,Corniche,Cardio,2024-12-22,2024-12-01,Sunday,20,9.25
45,3,2024-12-12 18:30:00,Cardio,72.0,559.5,171.5,5.0,Corniche,Cardio,2024-12-12,2024-12-01,Thursday,18,7.770833333333333
46,3,2024-12-29 16:00:00,Class,59.0,364.9,120.8,5.0,Yas Mall,Class,2024-12-29,2024-12-01,Sunday,16,6.184745762711864
47,4,2024-01-25 07:15:00,Cardio,77.0,608.4,130.3,3.0,Marina Mall,Cardio,2024-01-25,2024-01-01,Thursday,7,7.901298701298701
48,4,2024-07-10 18:15:00,Strength,54.0,352.1,134.0,5.0,Marina Mall,Strength,2024-07-10,2024-07-01,Wednesday,18,6.520370370370371
49,4,2024-10-22 11:15:00,Cardio,59.0,408.9,126.8,3.0,Downtown,Cardio,2024-10-22,2024-10-01,Tuesday,11,6.93050847457627
50,4,2024-09-15 21:45:00,Cardio,54.0,1603.8,121.1,5.0,Corniche,Cardio,2024-09-15,2024-09-01,Sunday,21,29.7
51,4,2024-03-05 18:15:00,Cardio,65.0,532.8,113.6,3.0,Downtown,Cardio,2024-03-05,2024-03-01,Tuesday,18,8.196923076923076
52,4,2024-05-06 08:15:00,Strength,71.0,451.5,136.7,3.0,Marina Mall,Strength,2024-05-06,2024-05-01,Monday,8,6.359154929577465
53,4,2024-03-31 18:15:00,Cardio,54.0,1605.3,119.9,4.0,Corniche,Cardio,2024-03-31,2024-03-01,Sunday,18,29.727777777777778
54,4,2024-08-10 07:30:00,Yoga,54.0,1133.4,125.6,5.0,Downtown,Yoga,2024-08-10,2024-08-01,Saturday,7,20.98888888888889
55,4,2024-04-15 09:45:00,Strength,52.0,275.5,135.2,2.0,Yas Mall,Strength,2024-04-15,2024-04-01,Monday,9,5.298076923076923
56,5,2023-10-01 07:00:00,CARDIO,41.0,282.1,130.5,3.0,Yas Mall,Cardio,2023-10-01,2023-10-01,Sunday,7,6.880487804878049
57,5,2023-12-09 19:30:00,Strength,41.0,216.6,120.8,2.0,Downtown,Strength,2023-12-09,2023-12-01,Saturday,19,5.282926829268293
58,5,2023-07-30 15:30:00,Cardio,10.0,89.3,140.8,4.0,Marina Mall,Cardio,2023-07-30,2023-07-01,Sunday,15,8.93
59,5,2024-03-15 09:15:00,Strength,54.0,1206.3,156.0,2.0,Marina Mall,Strength,2024-03-15,2024-03-01,Friday,9,22.33888888888889
60,5,2023-06-23 18:00:00,Cardio,42.0,319.6,126.4,3.0,Corniche,Cardio,2023-06-23,2023-06-01,Friday,18,7.60952380952381
61,5,2023-09-03 12:45:00,CARDIO,73.0,619.1,127.5,1.0,Corniche,Cardio,2023-09-03,2023-09-01,Sunday,12,8.48082191780822
62,5,2023-09-24 10:15:00,Cardio,25.0,255.0,125.3,4.0,Downtown,Cardio,2023-09-24,2023-09-01,Sunday,10,10.2
63,6,2024-01-18 17:15:00,Cardio,68.0,555.4,144.1,3.0,Corniche,Cardio,2024-01-18,2024-01-01,Thursday,17,8.16764705882353
64,6,2024-01-12 15:00:00,Cardio,73.0,529.8,136.2,2.0,Downtown,Cardio,2024-01-12,2024-01-01,Friday,15,7.257534246575342
65,6,2024-04-14 20:00:00,Cardio,56.0,524.1,140.6,3.0,Marina Mall,Cardio,2024-04-14,2024-04-01,Sunday,20,9.358928571428573
66,6,2024-02-13 15:00:00,Strength,48.0,316.1,162.3,2.0,Marina Mall,Strength,2024-02-13,2024-02-01,Tuesday,15,6.585416666666667
67,6,2024-07-03 14:15:00,Yoga,57.0,358.0,111.5,4.0,Yas Mall,Yoga,2024-07-03,2024-07-01,Wednesday,14,6.280701754385965
68,6,2024-04-14 08:30:00,Cardio,69.0,534.0,130.1,3.0,Corniche,Cardio,2024-04-14,2024-04-01,Sunday,8,7.739130434782608
69,7,2023-10-08 15:00:00,Cardio,69.0,573.1,137.7,1.0,Marina Mall,Cardio,2023-10-08,2023-10-01,Sunday,15,8.305797101449276
70,7,2024-03-07 06:00:00,Yoga,74.0,400.8,149.3,2.0,Downtown,Yoga,2024-03-07,2024-03-01,Thursday,6,5.416216216216216
71,7,2023-12-18 10:00:00,Class,58.0,346.1,143.0,1.0,Downtown,Class,2023-12-18,2023-12-01,Monday,10,5.967241379310345
72,7,2023-11-14 18:00:00,Strength,39.0,186.4,129.3,4.0,Yas Mall,Strength,2023-11-14,2023-11-01,Tuesday,18,4.779487179487179
73,7,2023-07-05 08:45:00,Yoga,59.0,318.0,139.4,3.0,Yas Mall,Yoga,2023-07-05,2023-07-01,Wednesday,8,5.389830508474576
74,7,2024-04-14 18:00:00,Cardio,61.0,505.5,131.7,5.0,Marina Mall,Cardio,2024-04-14,2024-04-01,Sunday,18,8.28688524590164
75,7,2023-12-18 21:00:00,Yoga,39.0,228.9,118.5,2.0,Downtown,Yoga,2023-12-18,2023-12-01,Monday,21,5.86923076923077
76,7,2023-08-19 12:45:00,Strength,57.0,452.2,125.4,2.0,Yas Mall,Strength,2023-08-19,2023-08-01,Saturday,12,7.933333333333334
77,7,2023-11-30 15:15:00,Yoga,33.0,187.6,123.1,3.0,Yas Mall,Yoga,2023-11-30,2023-11-01,Thursday,15,5.684848484848485
78,7,2024-02-15 14:15:00,Strength,51.0,279.0,147.3,4.0,Corniche,Strength,2024-02-15,2024-02-01,Thursday,14,5.470588235294118
79,7,2024-01-10 19:15:00,Yoga,54.0,270.9,140.2,3.0,Yas Mall,Yoga,2024-01-10,2024-01-01,Wednesday,19,5.016666666666667
80,7,2023-12-31 13:45:00,Strength,52.0,323.4,145.2,4.0,Corniche,Strength,2023-12-31,2023-12-01,Sunday,13,6.2192307692307685
81,7,2023-08-27 10:30:00,Yoga,75.0,488.8,99.2,5.0,Downtown,Yoga,2023-08-27,2023-08-01,Sunday,10,6.517333333333333
82,7,2023-07-07 19:15:00,Cardio,90.0,800.8,130.9,2.0,Yas Mall,Cardio,2023-07-07,2023-07-01,Friday,19,8.897777777777778
83,7,2023-08-12 17:45:00,Cardio,57.0,454.5,132.2,1.0,Downtown,Cardio,2023-08-12,2023-08-01,Saturday,17,7.973684210526316
84,7,2023-12-10 08:45:00,Cardio,47.0,399.4,139.2,3.0,Marina Mall,Cardio,2023-12-10,2023-12-01,Sunday,8,8.497872340425532
85,7,2024-02-22 11:15:00,Class,54.0,19.9,104.3,4.0,Downtown,Class,2024-02-22,2024-02-01,Thursday,11,0.36851851851851847
86,7,2023-12-24 13:15:00,Yoga,57.0,449.7,142.4,1.0,Yas Mall,Yoga,2023-12-24,2023-12-01,Sunday,13,7.889473684210526
87,7,2023-08-18 12:15:00,cardio,51.0,384.3,130.0,3.0,Yas Mall,Cardio,2023-08-18,2023-08-01,Friday,12,7.535294117647059
88,7,2024-05-12 08:30:00,Yoga,52.0,266.5,135.5,4.0,Corniche,Yoga,2024-05-12,2024-05-01,Sunday,8,5.125
89,7,2023-06-26 20:45:00,Cardio,58.0,487.5,159.1,2.0,Yas Mall,Cardio,2023-06-26,2023-06-01,Monday,20,8.405172413793103
90,7,2024-03-23 11:30:00,Cardio,15.0,143.1,149.5,4.0,Marina Mall,Cardio,2024-03-23,2024-03-01,Saturday,11,9.54
91,8,2023-11-29 06:15:00,Strength,37.0,215.9,142.0,5.0,Yas Mall,Strength,2023-11-29,2023-11-01,Wednesday,6,5.835135135135135
92,8,2024-02-04 16:45:00,Cardio,49.0,409.6,96.3,5.0,Yas Mall,Cardio,2024-02-04,2024-02-01,Sunday,16,8.359183673469389
93,8,2023-11-15 14:00:00,Class,56.0,322.6,120.0,2.0,Yas Mall,Class,2023-11-15,2023-11-01,Wednesday,14,5.760714285714286
94,8,2023-10-02 22:00:00,Strength,51.0,299.1,109.6,3.0,Corniche,Strength,2023-10-02,2023-10-01,Monday,22,5.864705882352942
95,8,2024-03-31 16:30:00,Cardio,54.0,29.3,131.1,5.0,Marina Mall,Cardio,2024-03-31,2024-03-01,Sunday,16,0.5425925925925926
96,8,2024-03-27 18:00:00,Strength,47.0,209.0,145.7,2.0,Yas Mall,Strength,2024-03-27,2024-03-01,Wednesday,18,4.446808510638298
97,8,2024-03-30 14:30:00,Class,65.0,411.5,140.7,1.0,Downtown,Class,2024-03-30,2024-03-01,Saturday,14,6.3307692307692305
98,8,2023-06-14 18:30:00,Cardio,90.0,637.0,129.7,3.0,Corniche,Cardio,2023-06-14,2023-06-01,Wednesday,18,7.0777777777777775
99,8,2023-12-18 21:00:00,Strength,70.0,386.3,126.2,3.0,Corniche,Strength,2023-12-18,2023-12-01,Monday,21,5.518571428571429
100,8,2023-11-18 11:15:00,Yoga,51.0,358.1,122.3,3.0,Downtown,Yoga,2023-11-18,2023-11-01,Saturday,11,7.021568627450981
101,8,2023-10-09 17:00:00,Yoga,56.0,293.2,144.3,5.0,Downtown,Yoga,2023-10-09,2023-10-01,Monday,17,5.235714285714286
102,8,2023-05-12 12:15:00,Cardio,89.0,707.4,124.8,3.0,Downtown,Cardio,2023-05-12,2023-05-01,Friday,12,7.948314606741572
103,8,2024-03-28 18:45:00,Cardio,50.0,341.0,148.8,4.0,Yas Mall,Cardio,2024-03-28,2024-03-01,Thursday,18,6.82
104,8,2024-01-08 08:15:00,Cardio,66.0,515.4,134.7,3.0,Corniche,Cardio,2024-01-08,2024-01-01,Monday,8,7.809090909090909
105,8,2023-08-15 22:45:00,Cardio,63.0,505.2,110.8,4.0,Marina Mall,Cardio,2023-08-15,2023-08-01,Tuesday,22,8.019047619047619
106,8,2024-03-17 21:00:00,Yoga,69.0,386.3,120.1,4.0,Marina Mall,Yoga,2024-03-17,2024-03-01,Sunday,21,5.598550724637681
107,8,2023-08-10 12:15:00,Cardio,38.0,276.7,119.1,4.0,Marina Mall,Cardio,2023-08-10,2023-08-01,Thursday,12,7.281578947368421
108,8,2023-09-20 12:00:00,Cardio,54.0,534.0,139.8,1.0,Corniche,Cardio,2023-09-20,2023-09-01,Wednesday,12,9.88888888888889
109,8,2023-07-10 09:00:00,Yoga,39.0,257.0,110.7,4.0,Yas Mall,Yoga,2023-07-10,2023-07-01,Monday,9,6.589743589743589
110,8,2023-11-22 22:00:00,Class,73.0,463.8,133.8,5.0,Marina Mall,Class,2023-11-22,2023-11-01,Wednesday,22,6.353424657534247
111,8,2023-07-08 18:00:00,Cardio,68.0,431.79999999999995,134.5,3.0,Yas Mall,Cardio,2023-07-08,2023-07-01,Saturday,18,6.35
112,9,2024-08-16 15:30:00,Yoga,58.0,354.5,123.7,3.0,Corniche,Yoga,2024-08-16,2024-08-01,Friday,15,6.112068965517241
113,9,2024-12-24 21:15:00,Cardio,61.0,469.1,119.0,2.0,Downtown,Cardio,2024-12-24,2024-12-01,Tuesday,21,7.69016393442623
114,9,2024-07-29 14:45:00,Strength,80.0,457.8,134.0,3.0,Downtown,Strength,2024-07-29,2024-07-01,Monday,14,5.7225
115,9,2024-11-25 12:30:00,Yoga,32.0,171.9,139.2,3.0,Corniche,Yoga,2024-11-25,2024-11-01,Monday,12,5.371875
116,9,2024-06-24 09:30:00,Class,29.0,251.6,131.4,3.0,Downtown,Class,2024-06-24,2024-06-01,Monday,9,8.675862068965516
117,9,2024-09-21 06:00:00,Yoga,54.0,148.6,138.6,3.0,Downtown,Yoga,2024-09-21,2024-09-01,Saturday,6,2.7518518518518515
118,9,2024-02-22 06:45:00,strenght,54.0,43.6,125.6,4.0,Yas Mall,Strength,2024-02-22,2024-02-01,Thursday,6,0.8074074074074075
119,9,2024-07-13 18:45:00,Strength,39.0,266.4,151.0,1.0,Corniche,Strength,2024-07-13,2024-07-01,Saturday,18,6.8307692307692305
120,9,2024-02-16 16:00:00,Cardio,60.0,435.1,127.3,4.0,Corniche,Cardio,2024-02-16,2024-02-01,Friday,16,7.251666666666667
121,9,2024-05-31 15:00:00,Yoga,46.0,289.5,123.7,5.0,Marina Mall,Yoga,2024-05-31,2024-05-01,Friday,15,6.293478260869565
122,9,2024-11-29 11:00:00,Cardio,48.0,354.2,125.0,5.0,Yas Mall,Cardio,2024-11-29,2024-11-01,Friday,11,7.379166666666666
123,9,2024-11-29 13:15:00,Strength,50.0,212.0,139.2,5.0,Downtown,Strength,2024-11-29,2024-11-01,Friday,13,4.24
124,9,2024-09-14 15:15:00,Cardio,60.0,465.2,125.1,1.0,Yas Mall,Cardio,2024-09-14,2024-09-01,Saturday,15,7.753333333333333
125,9,2024-05-05 22:30:00,Class,54.0,442.8,141.0,4.0,Downtown,Class,2024-05-05,2024-05-01,Sunday,22,8.200000000000001
126,9,2024-03-10 15:15:00,Strength,55.0,360.5,123.2,3.0,Marina Mall,Strength,2024-03-10,2024-03-01,Sunday,15,6.554545454545455
127,9,2024-05-20 20:15:00,Strength,49.0,242.0,146.4,3.0,Downtown,Strength,2024-05-20,2024-05-01,Monday,20,4.938775510204081
128,9,2024-03-23 15:00:00,Cardio,32.0,320.7,122.4,3.0,Yas Mall,Cardio,2024-03-23,2024-03-01,Saturday,15,10.021875
129,9,2024-09-13 13:15:00,Cardio,65.0,517.9,115.3,3.0,Downtown,Cardio,2024-09-13,2024-09-01,Friday,13,7.967692307692308
130,9,2024-02-16 20:15:00,strenght,49.0,266.6,120.7,3.0,Corniche,Strength,2024-02-16,2024-02-01,Friday,20,5.440816326530613
131,10,2023-06-26 14:15:00,Class,36.0,276.9,116.1,5.0,Yas Mall,Class,2023-06-26,2023-06-01,Monday,14,7.691666666666666
132,10,2024-01-10 09:30:00,Cardio,56.0,441.8,117.1,2.0,Downtown,Cardio,2024-01-10,2024-01-01,Wednesday,9,7.889285714285714
133,10,2023-03-04 07:15:00,Yoga,64.0,369.8,134.8,1.0,Downtown,Yoga,2023-03-04,2023-03-01,Saturday,7,5.778125
134,10,2023-04-04 22:30:00,Cardio,51.0,477.6,119.3,5.0,Corniche,Cardio,2023-04-04,2023-04-01,Tuesday,22,9.364705882352942
135,10,2023-09-26 19:45:00,Cardio,65.0,541.3,132.5,5.0,Corniche,Cardio,2023-09-26,2023-09-01,Tuesday,19,8.327692307692306
136,10,2023-06-17 13:45:00,Cardio,34.0,263.5,143.2,3.0,Marina Mall,Cardio,2023-06-17,2023-06-01,Saturday,13,7.75
137,10,2023-09-11 16:00:00,Cardio,54.0,32.1,153.2,1.0,Corniche,Cardio,2023-09-11,2023-09-01,Monday,16,0.5944444444444444
138,10,2023-12-08 22:15:00,Strength,66.0,327.2,151.7,3.0,Yas Mall,Strength,2023-12-08,2023-12-01,Friday,22,4.957575757575757
139,10,2023-07-02 14:00:00,Cardio,85.0,698.8,115.4,5.0,Marina Mall,Cardio,2023-07-02,2023-07-01,Sunday,14,8.221176470588235
140,11,2024-10-19 10:00:00,Cardio,61.0,403.2,148.5,3.0,Yas Mall,Cardio,2024-10-19,2024-10-01,Saturday,10,6.60983606557377
141,11,2024-08-22 20:30:00,Cardio,54.0,0.6,139.7,1.0,Downtown,Cardio,2024-08-22,2024-08-01,Thursday,20,0.011111111111111112
142,11,2024-10-28 12:30:00,Cardio,46.0,295.6,133.0,1.0,Yas Mall,Cardio,2024-10-28,2024-10-01,Monday,12,6.42608695652174
143,11,2023-12-24 06:00:00,Cardio,35.0,315.3,121.1,3.0,Marina Mall,Cardio,2023-12-24,2023-12-01,Sunday,6,9.008571428571429
144,11,2024-09-16 10:30:00,Cardio,40.0,330.8,124.3,3.0,Downtown,Cardio,2024-09-16,2024-09-01,Monday,10,8.27
145,11,2024-07-05 06:45:00,Cardio,56.0,482.2,142.9,4.0,Downtown,Cardio,2024-07-05,2024-07-01,Friday,6,8.610714285714286
146,11,2024-05-07 20:45:00,Yoga,66.0,429.2,121.5,4.0,Downtown,Yoga,2024-05-07,2024-05-01,Tuesday,20,6.503030303030303
147,11,2024-07-27 14:00:00,Strength,85.0,464.6,117.8,5.0,Marina Mall,Strength,2024-07-27,2024-07-01,Saturday,14,5.465882352941176
148,11,2024-07-02 18:45:00,Strength,69.0,407.8,100.2,3.0,Marina Mall,Strength,2024-07-02,2024-07-01,Tuesday,18,5.910144927536232
149,11,2024-06-11 13:30:00,Cardio,50.0,421.3,143.6,4.0,Marina Mall,Cardio,2024-06-11,2024-06-01,Tuesday,13,8.426
150,11,2024-05-13 10:30:00,Cardio,41.0,317.1,132.9,3.0,Corniche,Cardio,2024-05-13,2024-05-01,Monday,10,7.734146341463415
151,11,2024-08-01 20:15:00,Cardio,57.0,501.2,118.6,4.0,Yas Mall,Cardio,2024-08-01,2024-08-01,Thursday,20,8.79298245614035
152,11,2024-01-25 08:15:00,Yoga,56.0,263.9,134.0,1.0,Downtown,Yoga,2024-01-25,2024-01-01,Thursday,8,4.7124999999999995
153,12,2024-04-17 06:30:00,Cardio,48.0,452.9,123.3,3.0,Yas Mall,Cardio,2024-04-17,2024-04-01,Wednesday,6,9.435416666666667
154,12,2024-05-26 07:45:00,Cardio,36.0,339.7,159.2,1.0,Corniche,Cardio,2024-05-26,2024-05-01,Sunday,7,9.43611111111111
155,12,2024-06-04 22:45:00,Cardio,36.0,286.9,96.0,4.0,Yas Mall,Cardio,2024-06-04,2024-06-01,Tuesday,22,7.969444444444444
156,12,2023-10-12 22:00:00,Cardio,51.0,409.2,137.7,3.0,Marina Mall,Cardio,2023-10-12,2023-10-01,Thursday,22,8.023529411764706
157,12,2024-02-20 21:15:00,Cardio,32.0,322.0,142.2,2.0,Yas Mall,Cardio,2024-02-20,2024-02-01,Tuesday,21,10.0625
158,12,2024-04-05 08:00:00,Cardio,73.0,585.2,112.6,5.0,Corniche,Cardio,2024-04-05,2024-04-01,Friday,8,8.016438356164384
159,12,2024-03-26 14:15:00,Strength,54.0,300.2,130.2,3.0,Marina Mall,Strength,2024-03-26,2024-03-01,Tuesday,14,5.559259259259259
160,12,2024-01-27 11:00:00,Strength,65.0,398.8,130.2,2.0,Yas Mall,Strength,2024-01-27,2024-01-01,Saturday,11,6.135384615384615
161,12,2023-12-31 12:00:00,Strength,54.0,541.8,129.7,4.0,Downtown,Strength,2023-12-31,2023-12-01,Sunday,12,10.033333333333333
162,12,2023-09-28 19:45:00,strenght,53.0,327.2,135.5,3.0,Corniche,Strength,2023-09-28,2023-09-01,Thursday,19,6.173584905660377
163,12,2024-01-23 08:15:00,Cardio,58.0,375.6,123.8,2.0,Corniche,Cardio,2024-01-23,2024-01-01,Tuesday,8,6.475862068965518
164,13,2024-05-15 09:30:00,Cardio,66.0,505.3,121.0,1.0,Marina Mall,Cardio,2024-05-15,2024-05-01,Wednesday,9,7.656060606060606
165,13,2024-04-18 06:45:00,Cardio,34.0,321.1,141.8,2.0,Corniche,Cardio,2024-04-18,2024-04-01,Thursday,6,9.444117647058825
166,13,2024-11-09 16:00:00,Cardio,35.0,293.8,146.2,1.0,Downtown,Cardio,2024-11-09,2024-11-01,Saturday,16,8.394285714285715
167,13,2024-03-15 11:30:00,Cardio,17.0,148.5,100.2,2.0,Yas Mall,Cardio,2024-03-15,2024-03-01,Friday,11,8.735294117647058
168,13,2024-09-01 07:00:00,Yoga,44.0,242.6,118.4,2.0,Marina Mall,Yoga,2024-09-01,2024-09-01,Sunday,7,5.513636363636364
169,13,2024-05-24 13:30:00,Strength,64.0,387.3,140.1,5.0,Corniche,Strength,2024-05-24,2024-05-01,Friday,13,6.0515625
170,13,2024-08-25 15:45:00,Strength,57.0,303.7,144.2,5.0,Marina Mall,Strength,2024-08-25,2024-08-01,Sunday,15,5.328070175438596
171,13,2024-06-15 20:15:00,Strength,38.0,159.3,132.0,5.0,Yas Mall,Strength,2024-06-15,2024-06-01,Saturday,20,4.192105263157895
172,13,2024-04-18 11:45:00,Yoga,45.0,237.5,161.6,2.0,Downtown,Yoga,2024-04-18,2024-04-01,Thursday,11,5.277777777777778
173,13,2024-05-09 08:00:00,Cardio,65.0,433.9,154.8,5.0,Marina Mall,Cardio,2024-05-09,2024-05-01,Thursday,8,6.6753846153846155
174,13,2024-10-24 14:00:00,Cardio,64.0,531.9,141.3,5.0,Marina Mall,Cardio,2024-10-24,2024-10-01,Thursday,14,8.3109375
175,13,2024-06-04 08:15:00,Class,67.0,408.9,137.0,3.0,Corniche,Class,2024-06-04,2024-06-01,Tuesday,8,6.102985074626865
176,14,2024-03-19 21:45:00,Strength,37.0,227.5,159.3,4.0,Downtown,Strength,2024-03-19,2024-03-01,Tuesday,21,6.148648648648648
177,14,2024-03-19 12:30:00,Strength,50.0,304.7,100.5,3.0,Yas Mall,Strength,2024-03-19,2024-03-01,Tuesday,12,6.093999999999999
178,14,2024-09-15 09:00:00,Cardio,46.0,400.8,142.3,4.0,Corniche,Cardio,2024-09-15,2024-09-01,Sunday,9,8.71304347826087
179,14,2024-10-30 12:30:00,Strength,67.0,348.3,147.8,4.0,Yas Mall,Strength,2024-10-30,2024-10-01,Wednesday,12,5.1985074626865675
