workout_id,member_id,workout_datetime,workout_type,duration_min,calories_burned,avg_heart_rate,satisfaction_rating,branch
23,2,2024-12-03 15:45:00,Class,33.0,177.0,136.8,3.0,Downtown
24,2,2024-12-03 14:30:00,Cardio,64.0,493.8,114.4,3.0,Downtown
25,2,2024-11-23 22:15:00,Strength,51.0,306.1,128.3,5.0,Yas Mall
26,2,2024-10-29 21:00:00,Yoga,49.0,273.4,133.7,5.0,Corniche
27,2,2024-12-28 17:30:00,Cardio,42.0,270.4,147.9,2.0,Corniche
28,2,2024-11-18 12:00:00,Cardio,78.0,696.5,124.9,5.0,Yas Mall
29,3,2024-09-11 10:15:00,Cardio,52.0,453.5,143.4,5.0,Corniche
30,3,2024-07-08 19:30:00,Cardio,51.0,435.5,,5.0,Marina Mall
31,3,2024-08-24 18:15:00,Cardio,82.0,646.5,147.1,4.0,Downtown
32,3,2024-10-27 15:15:00,Class,46.0,292.7,125.1,5.0,Yas Mall
33,3,2024-11-02 17:45:00,Strength,59.0,354.3,120.8,3.0,Corniche
34,3,2024-10-24 08:15:00,Yoga,62.0,360.1,125.0,2.0,Yas Mall
35,3,2024-05-16 12:00:00,Strength,43.0,248.5,124.3,5.0,Yas Mall
36,3,2024-09-24 09:30:00,Class,63.0,372.7,122.1,3.0,Marina Mall
37,3,2024-08-05 15:15:00,Yoga,200.0,1223.7,124.7,0.0,Marina Mall
38,3,2024-11-11 07:45:00,Strength,70.0,359.3,128.7,3.0,Yas Mall
39,3,2024-05-06 11:30:00,Cardio,59.0,469.3,112.9,3.0,Downtown
40,3,2024-09-07 11:00:00,Cardio,41.0,337.0,127.0,3.0,Yas Mall
41,3,2024-11-21 10:45:00,Yoga,18.0,180.0,132.0,4.0,Yas Mall
42,3,2024-09-28 08:45:00,Cardio,29.0,228.9,120.4,4.0,Downtown
43,3,2024-07-19 19:15:00,Cardio,54.0,409.3,120.8,5.0,Corniche
44,3,2024-12-22 20:15:00,Cardio,66.0,610.5,134.5,3.0,Corniche
45,3,2024-12-12 18:30:00,Cardio,72.0,559.5,171.5,5.0,Corniche
46,3,2024-12-29 16:00:00,Class,59.0,364.9,120.8,5.0,Yas Mall
47,4,2024-01-25 07:15:00,Cardio,77.0,608.4,,3.0,Marina Mall
48,4,2024-07-10 18:15:00,Strength,,352.1,134.0,5.0,Marina Mall
49,4,2024-10-22 11:15:00,Cardio,59.0,408.9,126.8,3.0,Downtown
50,4,2024-09-15 21:45:00,Cardio,200.0,1603.8,121.1,5.0,Corniche
51,4,2024-03-05 18:15:00,Cardio,65.0,532.8,113.6,,Downtown
52,4,2024-05-06 08:15:00,Strength,71.0,451.5,136.7,3.0,Marina Mall
53,4,2024-03-31 18:15:00,Cardio,200.0,1605.3,119.9,4.0,Corniche
54,4,2024-08-10 07:30:00,Yoga,200.0,1133.4,125.6,5.0,Downtown
55,4,2024-04-15 09:45:00,Strength,52.0,275.5,135.2,2.0,Yas Mall
56,5,2023-10-01 07:00:00,CARDIO,41.0,282.1,130.5,3.0,Yas Mall
57,5,2023-12-09 19:30:00,Strength,41.0,216.6,120.8,2.0,Downtown
58,5,2023-07-30 15:30:00,Cardio,10.0,89.3,140.8,4.0,Marina Mall
59,5,2024-03-15 09:15:00,Strength,200.0,1206.3,156.0,2.0,Marina Mall
60,5,2023-06-23 18:00:00,Cardio,42.0,319.6,126.4,3.0,Corniche
61,5,2023-09-03 12:45:00,CARDIO,73.0,619.1,127.5,1.0,Corniche
62,5,2023-09-24 10:15:00,Cardio,25.0,255.0,125.3,4.0,Downtown
63,6,2024-01-18 17:15:00,Cardio,68.0,555.4,144.1,0.0,Corniche
64,6,2024-01-12 15:00:00,Cardio,73.0,529.8,136.2,2.0,Downtown
65,6,2024-04-14 20:00:00,Cardio,56.0,524.1,140.6,0.0,Marina Mall
66,6,2024-02-13 15:00:00,Strength,48.0,316.1,162.3,2.0,Marina Mall
67,6,2024-07-03 14:15:00,Yoga,57.0,358.0,111.5,4.0,Yas Mall
68,6,2024-04-14 08:30:00,Cardio,69.0,534.0,130.1,3.0,Corniche
69,7,2023-10-08 15:00:00,Cardio,69.0,573.1,137.7,1.0,Marina Mall
70,7,2024-03-07 06:00:00,Yoga,74.0,400.8,149.3,2.0,Downtown
71,7,2023-12-18 10:00:00,Class,58.0,346.1,143.0,1.0,Downtown
72,7,2023-11-14 18:00:00,Strength,39.0,186.4,129.3,4.0,Yas Mall
73,7,2023-07-05 08:45:00,Yoga,59.0,318.0,139.4,3.0,Yas Mall
74,7,2024-04-14 18:00:00,Cardio,61.0,505.5,131.7,5.0,Marina Mall
75,7,2023-12-18 21:00:00,Yoga,39.0,228.9,118.5,2.0,Downtown
76,7,2023-08-19 12:45:00,Strength,57.0,452.2,125.4,2.0,Yas Mall
77,7,2023-11-30 15:15:00,Yoga,33.0,187.6,123.1,3.0,Yas Mall
78,7,2024-02-15 14:15:00,Strength,51.0,279.0,147.3,4.0,Corniche
79,7,2024-01-10 19:15:00,Yoga,54.0,270.9,140.2,3.0,Yas Mall
80,7,2023-12-31 13:45:00,Strength,52.0,323.4,145.2,4.0,Corniche
81,7,2023-08-27 10:30:00,Yoga,75.0,488.8,99.2,5.0,Downtown
82,7,2023-07-07 19:15:00,Cardio,90.0,800.8,130.9,2.0,Yas Mall
83,7,2023-08-12 17:45:00,Cardio,57.0,454.5,132.2,1.0,Downtown
84,7,2023-12-10 08:45:00,Cardio,47.0,399.4,139.2,3.0,Marina Mall
85,7,2024-02-22 11:15:00,Class,0.0,19.9,104.3,4.0,Downtown
86,7,2023-12-24 13:15:00,Yoga,57.0,449.7,142.4,1.0,Yas Mall
87,7,2023-08-18 12:15:00,cardio,51.0,384.3,130.0,3.0,Yas Mall
88,7,2024-05-12 08:30:00,Yoga,52.0,266.5,135.5,4.0,Corniche
89,7,2023-06-26 20:45:00,Cardio,58.0,487.5,159.1,2.0,Yas Mall
90,7,2024-03-23 11:30:00,Cardio,15.0,143.1,149.5,4.0,Marina Mall
91,8,2023-11-29 06:15:00,Strength,37.0,215.9,142.0,5.0,Yas Mall
92,8,2024-02-04 16:45:00,Cardio,49.0,409.6,96.3,5.0,Yas Mall
93,8,2023-11-15 14:00:00,Class,56.0,322.6,120.0,2.0,Yas Mall
94,8,2023-10-02 22:00:00,Strength,51.0,299.1,109.6,3.0,Corniche
95,8,2024-03-31 16:30:00,Cardio,0.0,29.3,131.1,5.0,Marina Mall
96,8,2024-03-27 18:00:00,Strength,47.0,209.0,145.7,2.0,Yas Mall
97,8,2024-03-30 14:30:00,Class,65.0,411.5,140.7,1.0,Downtown
98,8,2023-06-14 18:30:00,Cardio,90.0,637.0,129.7,3.0,Corniche
99,8,2023-12-18 21:00:00,Strength,70.0,386.3,126.2,3.0,Corniche
100,8,2023-11-18 11:15:00,Yoga,51.0,358.1,122.3,3.0,Downtown
101,8,2023-10-09 17:00:00,Yoga,56.0,293.2,144.3,5.0,Downtown
102,8,2023-05-12 12:15:00,Cardio,89.0,707.4,124.8,3.0,Downtown
103,8,2024-03-28 18:45:00,Cardio,50.0,341.0,148.8,4.0,Yas Mall
104,8,2024-01-08 08:15:00,Cardio,66.0,515.4,134.7,3.0,Corniche
105,8,2023-08-15 22:45:00,Cardio,63.0,505.2,110.8,4.0,Marina Mall
106,8,2024-03-17 21:00:00,Yoga,69.0,386.3,120.1,4.0,Marina Mall
107,8,2023-08-10 12:15:00,Cardio,38.0,276.7,119.1,4.0,Marina Mall
108,8,2023-09-20 12:00:00,Cardio,54.0,534.0,139.8,1.0,Corniche
109,8,2023-07-10 09:00:00,Yoga,39.0,257.0,110.7,4.0,Yas Mall
110,8,2023-11-22 22:00:00,Class,73.0,463.8,133.8,5.0,Marina Mall
111,8,2023-07-08 18:00:00,Cardio,68.0,,134.5,3.0,Yas Mall
112,9,2024-08-16 15:30:00,Yoga,58.0,354.5,123.7,3.0,Corniche
113,9,2024-12-24 21:15:00,Cardio,61.0,469.1,119.0,2.0,Downtown
114,9,2024-07-29 14:45:00,Strength,80.0,457.8,134.0,3.0,Downtown
115,9,2024-11-25 12:30:00,Yoga,32.0,171.9,139.2,3.0,Corniche
116,9,2024-06-24 09:30:00,Class,29.0,251.6,,3.0,Downtown
117,9,2024-09-21 06:00:00,Yoga,,148.6,138.6,3.0,Downtown
118,9,2024-02-22 06:45:00,strenght,0.0,43.6,125.6,4.0,Yas Mall
119,9,2024-07-13 18:45:00,Strength,39.0,266.4,151.0,1.0,Corniche
120,9,2024-02-16 16:00:00,Cardio,60.0,435.1,127.3,4.0,Corniche
121,9,2024-05-31 15:00:00,Yoga,46.0,289.5,123.7,5.0,Marina Mall
122,9,2024-11-29 11:00:00,Cardio,48.0,354.2,125.0,5.0,Yas Mall
123,9,2024-11-29 13:15:00,Strength,50.0,212.0,139.2,5.0,Downtown
124,9,2024-09-14 15:15:00,Cardio,60.0,465.2,125.1,1.0,Yas Mall
125,9,2024-05-05 22:30:00,Class,,442.8,141.0,4.0,Downtown
126,9,2024-03-10 15:15:00,Strength,55.0,360.5,123.2,3.0,Marina Mall
127,9,2024-05-20 20:15:00,Strength,49.0,242.0,146.4,3.0,Downtown
128,9,2024-03-23 15:00:00,Cardio,32.0,320.7,122.4,3.0,Yas Mall
129,9,2024-09-13 13:15:00,Cardio,65.0,517.9,115.3,3.0,Downtown
130,9,2024-02-16 20:15:00,strenght,49.0,266.6,120.7,,Corniche
131,10,2023-06-26 14:15:00,Class,36.0,276.9,116.1,5.0,Yas Mall
132,10,2024-01-10 09:30:00,Cardio,56.0,441.8,117.1,2.0,Downtown
133,10,2023-03-04 07:15:00,Yoga,64.0,369.8,134.8,1.0,Downtown
134,10,2023-04-04 22:30:00,Cardio,51.0,477.6,119.3,5.0,Corniche
135,10,2023-09-26 19:45:00,Cardio,65.0,541.3,132.5,5.0,Corniche
136,10,2023-06-17 13:45:00,Cardio,34.0,263.5,143.2,3.0,Marina Mall
137,10,2023-09-11 16:00:00,Cardio,,32.1,153.2,1.0,Corniche
138,10,2023-12-08 22:15:00,Strength,66.0,,151.7,0.0,Yas Mall
139,10,2023-07-02 14:00:00,Cardio,85.0,698.8,115.4,5.0,Marina Mall
140,11,2024-10-19 10:00:00,Cardio,61.0,403.2,148.5,0.0,Yas Mall
141,11,2024-08-22 20:30:00,Cardio,0.0,0.6,139.7,1.0,Downtown
142,11,2024-10-28 12:30:00,Cardio,46.0,295.6,133.0,1.0,Yas Mall
143,11,2023-12-24 06:00:00,Cardio,35.0,315.3,121.1,3.0,Marina Mall
144,11,2024-09-16 10:30:00,Cardio,40.0,330.8,124.3,3.0,Downtown
145,11,2024-07-05 06:45:00,Cardio,56.0,482.2,142.9,4.0,Downtown
146,11,2024-05-07 20:45:00,Yoga,66.0,429.2,121.5,4.0,Downtown
147,11,2024-07-27 14:00:00,Strength,85.0,464.6,117.8,5.0,Marina Mall
148,11,2024-07-02 18:45:00,Strength,69.0,407.8,100.2,3.0,Marina Mall
149,11,2024-06-11 13:30:00,Cardio,50.0,421.3,143.6,4.0,Marina Mall
150,11,2024-05-13 10:30:00,Cardio,41.0,317.1,132.9,6.0,Corniche
151,11,2024-08-01 20:15:00,Cardio,57.0,501.2,118.6,4.0,Yas Mall
152,11,2024-01-25 08:15:00,Yoga,56.0,263.9,134.0,1.0,Downtown
153,12,2024-04-17 06:30:00,Cardio,48.0,452.9,123.3,3.0,Yas Mall
154,12,2024-05-26 07:45:00,Cardio,36.0,339.7,159.2,1.0,Corniche
155,12,2024-06-04 22:45:00,Cardio,36.0,286.9,96.0,4.0,Yas Mall
156,12,2023-10-12 22:00:00,Cardio,51.0,409.2,137.7,3.0,Marina Mall
157,12,2024-02-20 21:15:00,Cardio,32.0,322.0,142.2,2.0,Yas Mall
158,12,2024-04-05 08:00:00,Cardio,73.0,585.2,112.6,5.0,Corniche
159,12,2024-03-26 14:15:00,Strength,54.0,300.2,,3.0,Marina Mall
160,12,2024-01-27 11:00:00,Strength,65.0,398.8,,2.0,Yas Mall
161,12,2023-12-31 12:00:00,Strength,,541.8,129.7,4.0,Downtown
162,12,2023-09-28 19:45:00,strenght,53.0,,135.5,3.0,Corniche
163,12,2024-01-23 08:15:00,Cardio,58.0,375.6,123.8,2.0,Corniche
164,13,2024-05-15 09:30:00,Cardio,66.0,505.3,121.0,1.0,Marina Mall
165,13,2024-04-18 06:45:00,Cardio,34.0,321.1,141.8,2.0,Corniche
166,13,2024-11-09 16:00:00,Cardio,35.0,293.8,146.2,1.0,Downtown
167,13,2024-03-15 11:30:00,Cardio,17.0,148.5,100.2,2.0,Yas Mall
168,13,2024-09-01 07:00:00,Yoga,44.0,242.6,118.4,2.0,Marina Mall
169,13,2024-05-24 13:30:00,Strength,64.0,387.3,140.1,5.0,Corniche
170,13,2024-08-25 15:45:00,Strength,57.0,303.7,144.2,5.0,Marina Mall
171,13,2024-06-15 20:15:00,Strength,38.0,159.3,132.0,5.0,Yas Mall
172,13,2024-04-18 11:45:00,Yoga,45.0,237.5,161.6,2.0,Downtown
173,13,2024-05-09 08:00:00,Cardio,65.0,433.9,154.8,5.0,Marina Mall
174,13,2024-10-24 14:00:00,Cardio,64.0,531.9,141.3,5.0,Marina Mall
175,13,2024-06-04 08:15:00,Class,67.0,408.9,137.0,,Corniche
176,14,2024-03-19 21:45:00,Strength,37.0,227.5,159.3,4.0,Downtown
177,14,2024-03-19 12:30:00,Strength,50.0,304.7,100.5,3.0,Yas Mall
178,14,2024-09-15 09:00:00,Cardio,46.0,400.8,142.3,4.0,Corniche
179,14,2024-10-30 12:30:00,Strength,67.0,348.3,147.8,4.0,Yas Mall
180,14,2024-07-22 15:30:00,Strength,44.0,329.6,135.7,3.0,Yas Mall
181,14,2024-12-11 06:00:00,Cardio,57.0,474.1,110.8,5.0,Downtown
182,14,2024-06-02 09:30:00,Cardio,41.0,276.1,120.1,3.0,Corniche
183,14,2024-04-29 07:00:00,Strength,57.0,303.9,155.3,3.0,Corniche
184,14,2024-07-05 07:45:00,Yoga,45.0,237.0,,5.0,Downtown
185,14,2024-11-26 17:00:00,Cardio,51.0,366.8,138.3,5.0,Yas Mall
186,14,2024-11-14 16:45:00,Yoga,49.0,278.5,98.9,5.0,Corniche
187,14,2024-09-08 10:30:00,Strength,68.0,352.7,146.1,3.0,Marina Mall
188,14,2024-03-23 09:15:00,Strength,50.0,271.3,124.8,2.0,Yas Mall
189,14,2024-07-23 08:15:00,Cardio,,385.4,132.2,,Downtown
190,14,2024-04-13 08:15:00,Class,68.0,491.1,135.4,2.0,Downtown
191,15,2024-03-25 18:30:00,Cardio,35.0,309.8,133.1,3.0,Corniche
192,15,2024-02-27 21:15:00,Cardio,38.0,395.7,158.0,4.0,Yas Mall
193,15,2024-01-01 16:15:00,Strength,47.0,229.8,130.2,5.0,Yas Mall
194,15,2024-07-12 11:00:00,Cardio,37.0,271.7,129.6,3.0,Yas Mall
195,15,2024-05-17 21:30:00,Strength,75.0,472.2,118.0,3.0,Corniche
196,15,2023-09-08 22:45:00,Strength,59.0,351.5,122.1,2.0,Corniche
197,15,2024-04-24 21:15:00,Strength,64.0,428.5,133.5,4.0,Corniche
198,15,2024-07-01 12:15:00,Cardio,47.0,411.5,154.1,5.0,Marina Mall
199,15,2023-12-24 08:30:00,Cardio,61.0,536.9,127.4,3.0,Yas Mall
200,15,2024-04-29 14:15:00,Cardio,25.0,235.2,128.6,2.0,Marina Mall
201,15,2024-04-17 21:45:00,Cardio,86.0,656.5,127.7,4.0,Downtown
202,15,2024-04-23 08:45:00,Yoga,78.0,523.7,131.7,3.0,Marina Mall
203,15,2023-08-09 19:30:00,Cardio,41.0,323.5,127.8,5.0,Marina Mall
204,15,2024-06-09 13:45:00,Strength,52.0,291.5,138.5,2.0,Downtown
205,16,2024-06-06 07:45:00,Strength,49.0,275.6,,4.0,Downtown
206,16,2024-02-18 21:45:00,Strength,57.0,424.3,108.4,5.0,Yas Mall
207,16,2024-07-25 09:45:00,Strength,54.0,386.7,115.4,3.0,Yas Mall
208,16,2024-10-08 21:15:00,Class,80.0,508.5,122.5,1.0,Downtown
209,16,2023-12-08 10:45:00,Strength,27.0,175.3,110.7,5.0,Yas Mall
210,16,2024-06-07 20:00:00,Cardio,,659.9,130.0,2.0,Corniche
211,16,2024-07-16 22:00:00,Class,77.0,510.5,140.0,5.0,Yas Mall
212,16,2024-09-09 20:30:00,cardio,58.0,439.6,113.6,0.0,Downtown
213,16,2024-09-21 22:15:00,Cardio,64.0,506.4,,1.0,Yas Mall
214,16,2024-08-22 21:00:00,Yoga,49.0,306.4,132.5,,Corniche
215,16,2024-07-17 15:30:00,Cardio,76.0,598.9,157.3,4.0,Marina Mall
216,16,2024-03-26 07:00:00,Strength,61.0,390.1,138.7,4.0,Yas Mall
217,16,2024-05-05 21:45:00,Cardio,2.0,2.6,143.4,4.0,Yas Mall
218,16,2024-06-02 19:30:00,Cardio,29.0,218.1,128.9,3.0,Corniche
219,16,2024-04-15 16:00:00,cardio,63.0,522.4,119.7,4.0,Yas Mall
220,16,2024-05-01 11:30:00,Cardio,67.0,473.8,153.5,3.0,Yas Mall
221,16,2024-02-04 12:00:00,Strength,52.0,316.9,154.9,4.0,Downtown
222,17,2023-01-18 16:45:00,Strength,,304.6,122.3,4.0,Marina Mall
223,17,2023-03-16 22:45:00,Yoga,0.0,40.7,144.7,5.0,Corniche
224,17,2023-03-07 20:15:00,Strength,74.0,392.4,130.9,4.0,Yas Mall
225,17,2023-01-23 17:45:00,Cardio,68.0,571.5,146.9,5.0,Marina Mall
226,17,2023-01-15 12:00:00,cardio,52.0,372.4,127.9,1.0,Yas Mall
227,17,2023-05-12 10:45:00,CARDIO,44.0,337.9,,4.0,Yas Mall
228,17,2023-01-29 19:00:00,Strength,49.0,254.9,157.0,2.0,Yas Mall
229,17,2023-06-26 19:00:00,Yoga,64.0,380.6,137.0,3.0,Marina Mall
230,17,2023-07-02 19:30:00,Class,53.0,355.7,147.6,3.0,Marina Mall
231,17,2023-10-29 18:45:00,Class,55.0,294.1,125.3,3.0,Yas Mall
232,17,2023-06-12 09:45:00,Strength,59.0,385.0,132.7,3.0,Yas Mall
233,17,2023-11-24 15:30:00,Cardio,72.0,570.1,126.3,3.0,Yas Mall
234,17,2023-01-22 13:00:00,Class,37.0,263.9,128.8,4.0,Corniche
235,17,2023-08-21 12:45:00,Strength,58.0,319.9,123.0,4.0,Marina Mall
236,18,2023-06-04 16:30:00,Strength,57.0,281.5,118.1,3.0,Corniche
237,18,2023-12-09 17:00:00,Cardio,49.0,404.1,,2.0,Marina Mall
238,18,2024-02-03 16:00:00,Cardio,60.0,483.4,131.1,3.0,Yas Mall
239,18,2024-03-03 14:30:00,Cardio,58.0,461.9,118.5,5.0,Downtown
240,18,2023-05-30 07:45:00,Cardio,59.0,468.5,123.2,3.0,Downtown
241,18,2023-08-29 16:30:00,Cardio,51.0,527.3,104.7,4.0,Yas Mall
242,18,2023-06-25 07:15:00,Cardio,79.0,651.2,114.6,1.0,Corniche
243,18,2023-04-12 07:30:00,Cardio,0.0,4.4,135.8,3.0,Downtown
244,18,2023-07-18 12:15:00,strenght,200.0,1176.1,127.5,5.0,Marina Mall
245,18,2023-12-30 11:00:00,Strength,38.0,254.4,142.0,4.0,Yas Mall
246,18,2023-09-20 21:00:00,Yoga,62.0,432.3,146.8,2.0,Corniche
247,18,2023-10-25 15:45:00,Strength,39.0,228.4,122.5,2.0,Marina Mall
248,18,2024-02-10 09:30:00,Strength,43.0,240.3,145.9,2.0,Downtown
249,18,2024-02-06 12:30:00,Cardio,44.0,357.9,143.4,5.0,Yas Mall
250,18,2023-04-14 21:15:00,Cardio,56.0,438.8,111.9,0.0,Corniche
251,18,2024-02-11 08:45:00,Cardio,34.0,227.2,111.6,4.0,Corniche
252,18,2023-05-28 19:45:00,Yoga,54.0,368.2,125.3,3.0,Marina Mall
253,18,2023-04-15 21:30:00,Cardio,43.0,360.7,148.3,4.0,Downtown
254,18,2024-02-20 18:30:00,Cardio,56.0,440.3,130.4,1.0,Downtown
255,19,2023-10-10 15:00:00,Strength,56.0,335.4,128.4,2.0,Yas Mall
256,19,2023-06-29 16:15:00,Yoga,40.0,229.3,127.3,5.0,Corniche
257,19,2024-01-03 20:30:00,Cardio,200.0,1633.9,128.4,3.0,Corniche
258,19,2023-08-17 17:30:00,Strength,44.0,245.9,115.7,1.0,Downtown
259,19,2023-06-13 13:45:00,Strength,50.0,316.2,149.4,3.0,Corniche
260,19,2024-03-24 10:00:00,Yoga,55.0,327.8,133.8,2.0,Yas Mall
261,19,2024-03-15 13:45:00,Yoga,70.0,407.9,135.3,5.0,Yas Mall
262,19,2024-03-27 07:30:00,Yoga,61.0,341.4,138.5,4.0,Marina Mall
263,19,2023-09-16 22:00:00,Strength,69.0,478.1,137.8,4.0,Marina Mall
264,19,2024-05-11 14:00:00,Yoga,41.0,251.3,159.6,3.0,Yas Mall
265,19,2024-04-21 21:30:00,Strength,81.0,494.0,110.8,4.0,Downtown
266,19,2023-12-06 22:00:00,Strength,39.0,274.8,112.8,4.0,Corniche
267,19,2023-06-25 07:45:00,Yoga,40.0,207.3,93.8,4.0,Marina Mall
268,19,2023-12-24 13:00:00,Class,61.0,366.9,139.4,5.0,Downtown
269,19,2023-10-29 20:00:00,Cardio,64.0,516.6,118.6,5.0,Corniche
270,19,2024-02-03 07:00:00,Yoga,63.0,409.5,144.0,2.0,Downtown
271,19,2023-12-27 06:30:00,Cardio,63.0,450.4,158.5,3.0,Corniche
272,19,2023-10-11 09:15:00,Strength,53.0,330.6,124.6,2.0,Marina Mall
273,19,2024-02-06 12:30:00,Strength,86.0,498.9,128.6,4.0,Marina Mall
274,19,2023-07-21 10:45:00,Strength,62.0,466.7,,3.0,Downtown
275,19,2023-06-04 11:30:00,Cardio,45.0,381.8,109.1,4.0,Yas Mall
276,19,2024-03-02 07:00:00,Cardio,70.0,475.7,137.3,2.0,Yas Mall
277,20,2024-05-26 08:00:00,Cardio,,149.2,145.9,0.0,Marina Mall
278,20,2023-11-26 09:45:00,Strength,69.0,414.8,111.9,3.0,Yas Mall
279,20,2024-01-30 19:30:00,Cardio,34.0,246.1,105.0,3.0,Yas Mall
280,20,2024-04-17 15:30:00,Cardio,68.0,478.7,124.8,2.0,Corniche
281,20,2024-04-03 08:15:00,Yoga,0.0,-40.2,112.9,2.0,Marina Mall
282,20,2024-07-13 19:00:00,Yoga,55.0,301.7,149.1,5.0,Marina Mall
283,20,2023-10-25 08:15:00,Strength,44.0,246.0,161.3,3.0,Yas Mall
284,21,2023-12-28 21:00:00,Strength,59.0,326.2,164.9,4.0,Corniche
285,21,2023-11-09 21:30:00,Strength,44.0,296.5,138.2,3.0,Yas Mall
286,21,2023-06-13 10:15:00,Strength,45.0,263.9,137.1,2.0,Marina Mall
287,21,2023-04-28 08:30:00,Cardio,50.0,427.8,113.1,3.0,Downtown
288,21,2023-04-16 19:30:00,Strength,56.0,358.9,136.0,4.0,Downtown
289,21,2023-05-20 06:15:00,Cardio,61.0,521.3,110.4,3.0,Downtown
290,21,2023-03-30 15:45:00,Cardio,,469.4,142.1,5.0,Corniche
291,21,2023-07-10 14:30:00,Strength,63.0,419.7,154.6,1.0,Downtown
292,21,2023-02-09 21:30:00,Strength,63.0,386.1,106.6,2.0,Marina Mall
293,21,2023-02-25 22:00:00,Cardio,58.0,395.4,163.1,3.0,Corniche
294,21,2023-09-06 21:15:00,Cardio,74.0,612.4,106.1,4.0,Yas Mall
295,21,2023-02-11 07:30:00,Cardio,37.0,,125.2,5.0,Marina Mall
296,21,2023-09-12 22:00:00,CARDIO,49.0,393.1,143.4,3.0,Downtown
297,21,2023-09-23 16:45:00,Strength,200.0,1248.7,123.5,0.0,Marina Mall
298,21,2023-11-28 09:30:00,Cardio,59.0,563.2,119.6,1.0,Marina Mall
299,21,2023-07-20 19:15:00,cardio,48.0,352.3,140.6,3.0,Marina Mall
300,21,2023-03-24 12:45:00,Strength,35.0,202.6,,5.0,Marina Mall
301,21,2023-04-24 14:30:00,Cardio,47.0,393.6,110.5,5.0,Corniche
302,21,2023-07-01 07:00:00,Yoga,21.0,134.3,123.0,3.0,Marina Mall
303,21,2024-01-27 13:00:00,Yoga,52.0,291.0,119.1,3.0,Downtown
304,21,2023-12-16 09:15:00,Yoga,41.0,305.2,131.5,2.0,Corniche
305,21,2023-12-08 09:30:00,Cardio,37.0,208.5,114.4,2.0,Downtown
306,22,2023-12-01 10:30:00,Strength,70.0,439.0,143.0,3.0,Marina Mall
307,22,2024-08-03 11:00:00,Strength,45.0,280.9,147.8,5.0,Marina Mall
308,22,2024-02-02 19:45:00,Cardio,50.0,409.9,149.5,3.0,Downtown
309,22,2024-06-11 15:00:00,Cardio,84.0,678.4,,3.0,Corniche
310,22,2024-08-23 18:00:00,CARDIO,51.0,385.7,125.2,4.0,Downtown
311,22,2023-11-21 13:45:00,Strength,65.0,353.0,99.2,4.0,Downtown
312,22,2024-03-25 13:15:00,Strength,44.0,255.4,153.1,4.0,Downtown
313,22,2024-07-27 13:00:00,Strength,47.0,317.1,131.2,4.0,Downtown
314,23,2024-06-26 19:30:00,Strength,81.0,,130.6,2.0,Marina Mall
315,23,2024-05-08 14:30:00,Cardio,63.0,454.8,138.2,3.0,Corniche
316,23,2024-07-25 13:15:00,Class,45.0,272.8,140.7,4.0,Yas Mall
317,23,2024-05-16 22:00:00,CARDIO,95.0,,140.6,4.0,Downtown
318,23,2024-04-06 09:00:00,Yoga,52.0,290.7,140.6,4.0,Yas Mall
319,23,2024-02-02 08:15:00,Cardio,39.0,336.3,169.0,4.0,Corniche
320,23,2024-06-12 06:00:00,Class,29.0,187.7,134.5,5.0,Yas Mall
